constituency_id,ps_id,ps_id_NA
PB1,133,322
PB1,133,323
PB15,25,57
PB15,25,212
PB17,10,207
PB17,10,208
PB17,11,118
PB17,11,209
PB17,28,226
PB17,28,227
PB17,29,226
PB17,29,227
PB17,30,80
PB17,30,228
PB17,62,259
PB17,62,260
PB18,84,81
PB18,84,84
PB19,63,168
PB19,63,169
PB20,48,224
PB20,48,244
PB20,79,257
PB20,79,275
PB25,24,74
PB25,24,76
PB25,57,64
PB25,57,107
PB34,3,3
PB34,3,9
PB34,5,5
PB34,5,10
PB4,61,61
PB4,61,91
PB40,60,231
PB40,60,232
PB40,68,140
PB40,68,240
PB40,73,24
PB40,73,245
PB40,91,253
PB40,91,263
PB9,1,23
PB9,1,231
PB9,11,241
PB9,11,244
PB9,41,27
PB9,41,271
PK16,44,88
PK16,44,89
PK16,83,164
PK16,83,165
PK17,20,140
PK17,20,141
PK17,100,234
PK17,100,235
PK29,59,59
PK29,59,60
PK30,91,91
PK30,91,92
PK32,171,493
PK32,171,494
PK32,172,493
PK32,172,494
PK35,7,5
PK35,7,7
PK40,57,57
PK40,57,58
PK40,58,57
PK40,58,58
PK47,40,279
PK47,40,280
PK5,1,1
PK5,1,156
PK5,40,39
PK5,40,40
PK51,61,108
PK51,61,109
PK51,62,108
PK51,62,109
PK59,71,83
PK59,71,84
PK59,72,83
PK59,72,84
PK6,92,58
PK6,92,269
PK62,39,39
PK62,39,40
PK62,40,39
PK62,40,40
PK63,48,149
PK63,48,150
PK63,70,171
PK63,70,172
PK63,84,185
PK63,84,186
PK63,92,194
PK63,92,196
PK63,93,194
PK63,93,195
PK63,94,194
PK63,94,196
PK63,97,198
PK63,97,199
PK63,102,203
PK63,102,204
PK66,8,8
PK66,8,9
PK66,9,8
PK66,9,9
PK68,73,39
PK68,73,40
PK68,82,48
PK68,82,49
PK69,34,67
PK69,34,68
PK70,38,14
PK70,38,19
PK70,39,15
PK70,39,19
PK70,43,14
PK70,43,15
PK70,43,19
PK72,15,163
PK72,15,164
PK72,16,163
PK72,16,164
PK72,17,165
PK72,17,168
PK72,20,165
PK72,20,168
PK74,63,126
PK74,63,127
PK82,27,319
PK82,27,320
PK82,67,358
PK82,67,359
PK89,282,282
PK89,282,283
PK9,45,247
PK9,45,250
PK91,117,117
PK91,117,119
PK91,119,117
PK91,119,119
PK94,68,68
PK94,68,69
PK94,69,68
PK94,69,69
PK99,17,179
PK99,17,180
PK99,18,179
PK99,18,180
PP1,22,21
PP1,22,22
PP1,30,30
PP1,30,31
PP10,147,192
PP10,147,193
PP100,28,331
PP100,28,332
PP100,112,299
PP100,112,300
PP102,179,372
PP102,179,373
PP103,93,194
PP103,93,224
PP104,97,127
PP104,97,128
PP105,46,301
PP105,46,302
PP105,52,114
PP105,52,308
PP109,65,236
PP109,65,267
PP11,67,1
PP11,67,3
PP11,80,252
PP11,80,253
PP111,134,334
PP111,134,335
PP113,196,321
PP113,196,322
PP121,27,27
PP121,27,112
PP122,132,131
PP122,132,132
PP124,24,286
PP124,24,386
PP125,44,183
PP125,44,184
PP126,100,100
PP126,100,101
PP126,128,128
PP126,128,130
PP131,107,10
PP131,107,107
PP131,138,38
PP131,138,138
PP134,30,182
